date_key,full_date,year,month_number,month_name,year_month,week_number,day_of_month,day_of_week
20160330,2016-03-30,2016,3,March,2016-03,13,30,Wednesday
20160331,2016-03-31,2016,3,March,2016-03,13,31,Thursday
20160401,2016-04-01,2016,4,April,2016-04,13,1,Friday
20160402,2016-04-02,2016,4,April,2016-04,13,2,Saturday
20160403,2016-04-03,2016,4,April,2016-04,13,3,Sunday
20160404,2016-04-04,2016,4,April,2016-04,14,4,Monday
20160405,2016-04-05,2016,4,April,2016-04,14,5,Tuesday
20160406,2016-04-06,2016,4,April,2016-04,14,6,Wednesday
20160407,2016-04-07,2016,4,April,2016-04,14,7,Thursday
20160408,2016-04-08,2016,4,April,2016-04,14,8,Friday
20160409,2016-04-09,2016,4,April,2016-04,14,9,Saturday
20160410,2016-04-10,2016,4,April,2016-04,14,10,Sunday
20160411,2016-04-11,2016,4,April,2016-04,15,11,Monday
20160412,2016-04-12,2016,4,April,2016-04,15,12,Tuesday
20160413,2016-04-13,2016,4,April,2016-04,15,13,Wednesday
20160414,2016-04-14,2016,4,April,2016-04,15,14,Thursday
20160415,2016-04-15,2016,4,April,2016-04,15,15,Friday
20160416,2016-04-16,2016,4,April,2016-04,15,16,Saturday
20160417,2016-04-17,2016,4,April,2016-04,15,17,Sunday
20160418,2016-04-18,2016,4,April,2016-04,16,18,Monday
20160419,2016-04-19,2016,4,April,2016-04,16,19,Tuesday
20160420,2016-04-20,2016,4,April,2016-04,16,20,Wednesday
20160421,2016-04-21,2016,4,April,2016-04,16,21,Thursday
20160422,2016-04-22,2016,4,April,2016-04,16,22,Friday
20160423,2016-04-23,2016,4,April,2016-04,16,23,Saturday
20160424,2016-04-24,2016,4,April,2016-04,16,24,Sunday
20160425,2016-04-25,2016,4,April,2016-04,17,25,Monday
20160426,2016-04-26,2016,4,April,2016-04,17,26,Tuesday
20160427,2016-04-27,2016,4,April,2016-04,17,27,Wednesday
20160428,2016-04-28,2016,4,April,2016-04,17,28,Thursday
20160429,2016-04-29,2016,4,April,2016-04,17,29,Friday
20160430,2016-04-30,2016,4,April,2016-04,17,30,Saturday
20160501,2016-05-01,2016,5,May,2016-05,17,1,Sunday
20160502,2016-05-02,2016,5,May,2016-05,18,2,Monday
20160503,2016-05-03,2016,5,May,2016-05,18,3,Tuesday
20160504,2016-05-04,2016,5,May,2016-05,18,4,Wednesday
20160505,2016-05-05,2016,5,May,2016-05,18,5,Thursday
20160506,2016-05-06,2016,5,May,2016-05,18,6,Friday
20160507,2016-05-07,2016,5,May,2016-05,18,7,Saturday
20160508,2016-05-08,2016,5,May,2016-05,18,8,Sunday
20160509,2016-05-09,2016,5,May,2016-05,19,9,Monday
20160510,2016-05-10,2016,5,May,2016-05,19,10,Tuesday
20160511,2016-05-11,2016,5,May,2016-05,19,11,Wednesday
20160512,2016-05-12,2016,5,May,2016-05,19,12,Thursday
20160513,2016-05-13,2016,5,May,2016-05,19,13,Friday
20160514,2016-05-14,2016,5,May,2016-05,19,14,Saturday
20160515,2016-05-15,2016,5,May,2016-05,19,15,Sunday
20160516,2016-05-16,2016,5,May,2016-05,20,16,Monday
20160517,2016-05-17,2016,5,May,2016-05,20,17,Tuesday
20160518,2016-05-18,2016,5,May,2016-05,20,18,Wednesday
20160519,2016-05-19,2016,5,May,2016-05,20,19,Thursday
20160520,2016-05-20,2016,5,May,2016-05,20,20,Friday
20160521,2016-05-21,2016,5,May,2016-05,20,21,Saturday
20160522,2016-05-22,2016,5,May,2016-05,20,22,Sunday
20160523,2016-05-23,2016,5,May,2016-05,21,23,Monday
20160524,2016-05-24,2016,5,May,2016-05,21,24,Tuesday
20160525,2016-05-25,2016,5,May,2016-05,21,25,Wednesday
20160526,2016-05-26,2016,5,May,2016-05,21,26,Thursday
20160527,2016-05-27,2016,5,May,2016-05,21,27,Friday
20160528,2016-05-28,2016,5,May,2016-05,21,28,Saturday
20160529,2016-05-29,2016,5,May,2016-05,21,29,Sunday
20160530,2016-05-30,2016,5,May,2016-05,22,30,Monday
20160531,2016-05-31,2016,5,May,2016-05,22,31,Tuesday
20160601,2016-06-01,2016,6,June,2016-06,22,1,Wednesday
20160602,2016-06-02,2016,6,June,2016-06,22,2,Thursday
20160603,2016-06-03,2016,6,June,2016-06,22,3,Friday
20160604,2016-06-04,2016,6,June,2016-06,22,4,Saturday
